Cliente,Sexo,Edad,Empresa,Salario,Saldo_cuenta,Saldo_ahorros,Saldo_inversion,Deudor_tarjeta,Deudas,Distrito
106,F,32,Autônomo,6162,"-372,36",0,0,"1736,56",1,IPIRANGA
310,M,34,Privada,"3898,3","-45,74",0,0,"3567,22",1,ITAQUERA
431,F,28,Privada,5517,"-527,95",0,0,"2722,83",1,PENHA
590,F,28,Pública,"5546,2","907,92",0,0,"114,49",0,VILA PRUDENTE
971,F,32,Pública,5276,"1143,71",0,0,647,0,PENHA
1002,F,31,Autônomo,5150,"-51,75",0,0,"3134,78",1,CAMPO LIMPO
1409,M,30,Autônomo,"7256,2","792,29",0,0,"1610,88",1,SE
1612,F,30,Privada,4963,"579,65",0,0,"3560,45",0,PERUS
1780,M,34,Privada,"7278,75","1081,82",0,0,264,0,CASA VERDE-CACHOEIRINHA
2145,M,32,Pública,5347,"43,52",0,0,"2767,24",1,PIRITUBA-JARAGUA
2196,F,31,Privada,"3901,8","693,35",0,0,2488,1,SAO MATEUS
2328,M,34,Privada,6027,"644,98",0,0,"662,97",0,ERMELINO MATARAZZO
2676,M,38,Privada,"4378,5","1140,9",0,0,"3907,82",0,ITAQUERA
2765,F,30,Privada,"3526,9","952,88",0,0,136,0,M'BOI MIRIM
2926,M,35,Privada,"3991,4","-10,82",0,0,"4137,44",1,CAPELA DO SOCORRO
3318,M,38,Privada,"6807,9","1212,47",0,0,46,0,LAPA
3433,M,32,Privada,"6244,7","984,16",0,0,"1441,76",1,VILA PRUDENTE
3545,F,32,Pública,5062,"561,57",0,0,0,0,VILA MARIA-VILA GUILHERME
4138,M,30,Pública,5267,"495,65",0,0,"3674,17",0,CAMPO LIMPO
4501,M,35,Privada,"4872,8","-32,17",0,0,274,0,CIDADE ADEMAR
5247,M,34,Privada,"3929,8","1027,08",0,0,3589,1,ITAQUERA
5251,F,26,Autônomo,3932,"686,84",0,0,"2183,59",0,JACANA-TREMEMBE
5431,F,31,Pública,5247,"1008,12",0,0,"2074,47",0,PENHA
5576,F,31,Privada,5236,"464,83","15774,7","11974,75",0,0,SANTANA-TUCURUVI
5949,F,39,Autônomo,"6303,7","-30,19",0,0,"1573,82",0,IPIRANGA
6183,M,35,Privada,5615,"918,35",0,0,0,0,VILA MARIA-VILA GUILHERME
6305,M,31,Pública,8646,"932,08",0,0,"1763,55",0,BUTANTA
6372,M,28,Autônomo,5483,"-16,89",0,0,3476,1,ITAIM PAULISTA
6809,F,30,Privada,"5980,7","-625,36","16079,97","10139,57",1226,0,SANTO AMARO
7132,M,29,Autônomo,5227,"66,99",0,0,2025,0,FREGUESIA-BRASILANDIA
7410,F,30,Autônomo,4934,"22,05",0,0,"2664,12",1,VILA MARIA-VILA GUILHERME
7461,M,33,Privada,6064,"1054,06",0,0,"3162,06",0,CAMPO LIMPO
7520,M,38,Privada,"12845,25","1049,12","17102,22","13360,76",0,0,PINHEIROS
7615,F,33,Privada,"3804,5","511,58",0,0,"4046,04",1,ITAQUERA
7994,M,31,Privada,"6079,7","642,11",0,0,1273,0,JABAQUARA
8503,F,28,Pública,"3299,4","640,52",0,0,715,0,M'BOI MIRIM
8944,F,34,Privada,5858,"-65,99",0,0,"2714,55",0,FREGUESIA-BRASILANDIA
9013,F,28,Privada,5113,"-97,56",0,0,726,0,ITAIM PAULISTA
9103,F,26,Autônomo,4759,"-459,41",0,0,"2427,27",1,ERMELINO MATARAZZO
9191,M,32,Privada,4512,"-61,19",0,0,"2681,73",1,JACANA-TREMEMBE
9337,M,36,Privada,13005,"1004,75","18452,97","14104,82",0,0,PINHEIROS
9587,F,31,Pública,5207,"747,68",0,0,"2463,88",0,VILA MARIA-VILA GUILHERME
9689,M,36,Privada,"4822,4","1098,66",0,0,715,0,JACANA-TREMEMBE
9699,M,37,Privada,"7810,6","768,9","16801,57","8138,71",0,0,VILA MARIANA
9755,M,32,Privada,5878,"968,87",0,0,367,0,VILA MARIA-VILA GUILHERME
10061,M,32,Privada,5546,"894,14",0,0,"707,72",0,ITAIM PAULISTA
10201,F,28,Privada,"3474,1","-71,17",0,0,"3058,38",1,PARELHEIROS
10244,M,32,Privada,"3958,5","1080,14",0,0,"3487,33",1,PARELHEIROS
10438,M,34,Privada,5853,"-19,64",0,0,"2775,69",1,ERMELINO MATARAZZO
10448,M,31,Privada,"7863,8","536,35",0,0,544,0,SE
10511,F,33,Privada,"3901,8","699,76",0,0,"3683,08",1,CAPELA DO SOCORRO
11028,F,28,Pública,"6447,5","1188,81","15632,34","10260,99",0,0,MOOCA
11477,F,32,Privada,5692,"631,49",0,0,224,0,FREGUESIA-BRASILANDIA
12034,F,34,Pública,"7911,4","1052,3","17175,68","8004,73",1235,0,VILA MARIANA
12516,F,31,Privada,"3512,6","730,78",0,0,"3,106,727",1,M'BOI MIRIM
